City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rikitea,PF,76.41,scattered clouds,-23.1203,-134.9692,People ThankYou
14,Vao,NC,75.42,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
19,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
22,Riohacha,CO,88.27,overcast clouds,11.5444,-72.9072,Hotel Taroa
24,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
32,Sabang,ID,84.06,overcast clouds,5.8933,95.3214,Hotel Citra
33,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
35,Bengkulu,ID,76.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
36,Port Maria,JM,87.76,overcast clouds,18.3685,-76.8895,Galina Breeze Hotel
40,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
41,Conceicao Do Rio Verde,BR,76.12,clear sky,-21.8808,-45.0853,Hotel Central
43,Antalaha,MG,76.53,few clouds,-14.9003,50.2788,Hotel Vitasoa
48,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
59,Nizwa,OM,85.68,clear sky,22.9333,57.5333,Orient Apartments
63,Sungairaya,ID,79.63,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
65,Faanui,PF,80.4,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
73,Isangel,VU,78.71,overcast clouds,-19.55,169.2667,Tanna Lodge
81,Lorengau,PG,81.25,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Namatanai,PG,78.93,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
89,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
93,Harrison,US,77.05,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
115,Kohlu,PK,83.48,broken clouds,29.8962,69.252,B &R Rest House
116,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
119,Casablanca,MA,79.02,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
120,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
122,Camopi,GF,82.27,broken clouds,3.1655,-52.3158,La pousada
125,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
135,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
136,La Primavera,CO,86.99,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
150,Gopalpur,IN,81.32,broken clouds,19.2667,84.9167,Gopalpur Palm Resort
151,Belmonte,BR,81.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
152,Hamilton,US,75.42,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
153,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
157,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
158,Lake Charles,US,87.03,broken clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
160,Bonthe,SL,85.39,broken clouds,7.5264,-12.505,Bonthe Holiday Village
164,Sao Filipe,CV,75.7,clear sky,14.8961,-24.4956,Hotel Xaguate
167,Petatlan,MX,85.8,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
175,Impfondo,CG,81.66,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
176,Vila Velha,BR,85.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
180,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
185,Uchiza,PE,84.87,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
191,Omboue,GA,80.46,broken clouds,-1.5746,9.2618,Hotel Olako
192,Asyut,EG,85.91,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
201,Karratha,AU,82.17,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
202,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
203,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
206,Nabire,ID,75.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
210,Auki,SB,77.11,light rain,-8.7676,160.7034,Auki Motel
216,Teguajinal,HN,77.0,overcast clouds,15.3667,-86.6,
223,Zwedru,LR,88.81,overcast clouds,6.0667,-8.1281,Elijah Worjloh
224,Juba,SS,80.15,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
226,Tamandare,BR,82.89,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
229,Cabo San Lucas,MX,83.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
233,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
234,Hithadhoo,MV,85.84,heavy intensity rain,-0.6,73.0833,Scoop Guest House
235,Kingman,US,75.13,haze,35.1894,-114.053,Rodeway Inn Kingman Route 66
236,Nueva Guinea,NI,87.49,overcast clouds,11.6876,-84.4562,Posadita La Reyna
239,Kutum,SD,88.38,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
243,Salalah,OM,86.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
244,Mutis,CO,81.28,light rain,6.2262,-77.4044,Paraiso Escondido
245,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
247,San Policarpo,PH,79.99,overcast clouds,12.1791,125.5072,Agapita M. Nicart
249,Touros,BR,85.01,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
256,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
260,Bull Savanna,JM,82.24,overcast clouds,17.8868,-77.5902,Big Red's
261,Doha,QA,89.91,clear sky,25.2867,51.5333,Movenpick Hotel Doha
267,Saint Andrews,US,83.66,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
272,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
274,Tual,ID,82.63,broken clouds,-5.6667,132.75,Grand Vilia Hotel
275,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,hotel la terminal
276,Noumea,NC,77.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
282,Hidrolandia,BR,85.32,overcast clouds,-4.4081,-40.4378,Pousada Rei De Carneiro
284,Danville,US,79.43,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
285,Cocobeach,GA,81.79,light rain,1.0002,9.5823,Hotel Esperance
287,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
288,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
291,Kirakira,SB,79.12,overcast clouds,-10.4544,161.9205,SanBiz Lodge
294,Yurimaguas,PE,87.96,few clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
295,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
300,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
301,Havelock,US,81.99,broken clouds,34.8791,-76.9013,Sherwood Motel
302,Lake City,US,87.58,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
306,San Cristobal,VE,86.18,overcast clouds,7.7669,-72.225,Pirineos
307,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
308,Tonantins,BR,76.87,light rain,-2.8731,-67.8022,Hotel Hortensias
313,Bandarbeyla,SO,84.67,broken clouds,9.4942,50.8122,JABIR HOTEL
318,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
319,Marigot,MF,83.05,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
323,Hope,US,78.85,few clouds,33.6671,-93.5916,Best Western Hope
327,Calderitas,MX,86.11,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
330,Eyl,SO,85.23,overcast clouds,7.9803,49.8164,Amiin Hotel
332,Phan Thiet,VN,78.85,scattered clouds,10.9333,108.1,Hotel Saigon-PT
335,Portobelo,PA,87.96,overcast clouds,9.55,-79.65,Scuba Portobelo
337,Puerto Madero,MX,89.8,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
341,Kavieng,PG,81.64,clear sky,-2.5744,150.7967,Nusa Island Retreat
346,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
354,Kisangani,CD,77.74,overcast clouds,0.5167,25.2,Grand Ramela Hotel
356,Robertson,US,75.54,clear sky,36.5167,-86.8667,Hampton Inn Springfield
360,Kudahuvadhoo,MV,86.11,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
361,Kavaratti,IN,85.01,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
363,Key West,US,89.6,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
365,Awbari,LY,81.61,clear sky,26.5921,12.7805,فندق أوباري
366,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
368,Port Moresby,PG,76.42,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
370,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
374,Monrovia,LR,84.02,overcast clouds,6.3005,-10.7969,Sunset Inn
375,Acarau,BR,85.15,broken clouds,-2.8856,-40.12,castelo pizzaria
376,Sola,VU,81.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
