City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-04-29 01:25:11,-54.8,-68.3,40.66,81,40,21.85
1,Swift Current,CA,2022-04-29 01:24:49,50.2834,-107.8014,56.21,28,0,10.36
2,Barrow,US,2022-04-29 01:25:12,71.2906,-156.7887,8.62,78,100,19.57
3,San Patricio,US,2022-04-29 01:23:58,28.017,-97.5169,77.9,77,30,14.65
4,Port Alfred,ZA,2022-04-29 01:15:52,-33.5906,26.891,66.34,53,4,8.43
5,Faya,SA,2022-04-29 01:25:13,18.3851,42.4509,57.31,60,0,5.06
6,Noumea,NC,2022-04-29 01:21:10,-22.2763,166.4572,75.99,99,100,19.84
7,East London,ZA,2022-04-29 01:14:34,-33.0153,27.9116,68.14,45,0,8.93
8,Bethel,US,2022-04-29 01:13:59,41.3712,-73.414,48.49,35,0,9.22
9,Nelson Bay,AU,2022-04-29 01:15:51,-32.7167,152.15,75.09,78,94,1.23
10,Bari,IT,2022-04-29 01:25:14,41.1177,16.8512,56.88,74,0,9.22
11,Tautira,PF,2022-04-29 01:15:42,-17.7333,-149.15,80.37,74,25,22.17
12,Yellowknife,CA,2022-04-29 01:25:14,62.456,-114.3525,35.56,64,20,19.57
13,Kodiak,US,2022-04-29 01:18:25,57.79,-152.4072,44.11,70,100,20.71
14,Manokwari,ID,2022-04-29 01:25:15,-0.8667,134.0833,82.89,69,96,2.17
15,Rikitea,PF,2022-04-29 01:25:15,-23.1203,-134.9692,77.11,67,0,18.37
16,Hobart,AU,2022-04-29 01:21:58,-42.8794,147.3294,71.26,74,75,11.5
17,Punta Arenas,CL,2022-04-29 01:22:31,-53.15,-70.9167,42.91,75,75,26.46
18,Provideniya,RU,2022-04-29 01:25:16,64.3833,-173.3,30.36,86,100,20.13
19,Butaritari,KI,2022-04-29 01:19:59,3.0707,172.7902,82.09,77,100,16.15
20,Geraldton,AU,2022-04-29 01:25:17,-28.7667,114.6,63.01,67,0,12.66
21,Fairbanks,US,2022-04-29 01:19:52,64.8378,-147.7164,53.56,34,0,6.91
22,Dikson,RU,2022-04-29 01:20:02,73.5069,80.5464,8.37,89,22,20.74
23,Qaanaaq,GL,2022-04-29 01:25:18,77.484,-69.3632,20.88,91,94,8.01
24,Goderich,CA,2022-04-29 01:25:18,43.7501,-81.7165,36.91,69,5,5.75
25,Jadu,LY,2022-04-29 01:25:19,31.953,12.0261,54.57,65,91,7.72
26,Pareora,NZ,2022-04-29 01:25:19,-44.4871,171.2132,59.18,81,0,8.59
27,Ilulissat,GL,2022-04-29 01:19:54,69.2167,-51.1,26.62,93,75,0.0
28,Hasaki,JP,2022-04-29 01:18:39,35.7333,140.8333,61.29,78,100,16.46
29,Samarai,PG,2022-04-29 01:23:14,-10.6167,150.6667,85.21,67,10,8.97
30,Mataura,NZ,2022-04-29 01:25:20,-46.1927,168.8643,58.48,65,3,0.72
31,Mananjary,MG,2022-04-29 01:25:20,-21.2167,48.3333,69.75,86,100,8.86
32,Kapaa,US,2022-04-29 01:25:21,22.0752,-159.319,77.11,83,100,12.66
33,Shirokiy,RU,2022-04-29 01:25:21,49.758,129.523,50.29,36,90,12.44
34,Tuktoyaktuk,CA,2022-04-29 01:15:39,69.4541,-133.0374,12.2,85,75,14.97
35,Tiarei,PF,2022-04-29 01:25:22,-17.5333,-149.3333,87.82,74,6,22.46
36,Georgetown,MY,2022-04-29 01:25:23,5.4112,100.3354,84.13,88,20,3.44
37,Zyryanka,RU,2022-04-29 01:25:23,65.75,150.85,21.69,85,100,11.97
38,Chuy,UY,2022-04-29 01:25:24,-33.6971,-53.4616,50.67,65,0,9.55
39,San Quintin,MX,2022-04-29 01:18:10,30.4833,-115.95,60.12,67,0,23.6
40,Yumen,CN,2022-04-29 01:23:52,40.2833,97.2,43.59,57,100,12.86
41,Svilajnac,RS,2022-04-29 01:25:24,44.2337,21.1967,48.99,91,94,5.12
42,Puerto Ayora,EC,2022-04-29 01:17:04,-0.7393,-90.3518,71.94,89,3,8.01
43,Hermanus,ZA,2022-04-29 01:25:25,-34.4187,19.2345,60.19,91,100,5.86
44,Mendoza,AR,2022-04-29 01:26:11,-32.8908,-68.8272,47.73,46,0,3.44
45,Husavik,IS,2022-04-29 01:26:26,66.0449,-17.3389,42.66,65,8,4.97
46,Hithadhoo,MV,2022-04-29 01:17:17,-0.6,73.0833,84.74,65,34,5.06
47,New Norfolk,AU,2022-04-29 01:21:14,-42.7826,147.0587,70.92,79,100,1.01
48,Souillac,MU,2022-04-29 01:26:27,-20.5167,57.5167,71.98,94,20,4.61
49,Lichuan,CN,2022-04-29 01:26:27,30.3,108.85,56.95,85,99,4.21
50,Tasiilaq,GL,2022-04-29 01:26:28,65.6145,-37.6368,30.36,85,39,5.5
51,Thompson,CA,2022-04-29 01:26:28,55.7435,-97.8558,44.76,42,75,2.3
52,Pinillos,CO,2022-04-29 01:26:29,8.9193,-74.4677,75.49,97,100,2.51
53,Necochea,AR,2022-04-29 01:24:16,-38.5473,-58.7368,49.3,55,99,13.76
54,Busselton,AU,2022-04-29 01:24:04,-33.65,115.3333,60.17,65,3,3.49
55,Ambulu,ID,2022-04-29 01:26:30,-8.345,113.6058,81.23,74,48,1.92
56,Pevek,RU,2022-04-29 01:26:30,69.7008,170.3133,28.17,94,100,8.72
57,Malpura,IN,2022-04-29 01:26:31,26.2833,75.3833,85.86,16,0,11.16
58,Vagur,FO,2022-04-29 01:26:31,61.4732,-6.8119,44.08,77,10,3.18
59,Nome,US,2022-04-29 01:26:32,64.5011,-165.4064,41.07,75,100,14.97
60,Caxito,AO,2022-04-29 01:26:32,-8.5785,13.6643,73.99,99,98,3.15
61,Victoria,HK,2022-04-29 01:20:43,22.2855,114.1577,87.96,80,85,8.99
62,Ancud,CL,2022-04-29 01:26:33,-41.8697,-73.8203,43.88,85,18,3.91
63,Amapa,BR,2022-04-29 01:26:33,1.0,-52.0,72.86,99,100,2.71
64,Bathsheba,BB,2022-04-29 01:26:34,13.2167,-59.5167,79.41,83,40,12.66
65,Yaan,NG,2022-04-29 01:26:34,7.3833,8.5667,76.96,77,100,2.46
66,Cockburn Town,TC,2022-04-29 01:17:01,21.4612,-71.1419,75.63,58,12,13.58
67,Port Elizabeth,ZA,2022-04-29 01:25:38,-33.918,25.5701,61.32,71,0,2.3
68,Atuona,PF,2022-04-29 01:26:35,-9.8,-139.0333,79.23,75,44,20.09
69,Marzuq,YE,2022-04-29 01:23:47,14.4,46.4667,69.78,50,9,4.05
70,Bluff,NZ,2022-04-29 01:26:36,-46.6,168.3333,58.8,71,9,4.38
71,Komsomolskiy,UZ,2022-04-29 01:26:36,40.4272,71.7189,63.32,67,100,4.61
72,Durban,ZA,2022-04-29 01:23:00,-29.8579,31.0292,65.01,67,0,1.99
73,Tiksi,RU,2022-04-29 01:26:37,71.6872,128.8694,16.92,84,72,7.34
74,Iqaluit,CA,2022-04-29 01:18:33,63.7506,-68.5145,6.53,72,40,4.61
75,Arraial Do Cabo,BR,2022-04-29 01:17:05,-22.9661,-42.0278,75.6,87,2,19.46
76,Digby,CA,2022-04-29 01:26:38,44.6169,-65.7655,38.59,96,100,17.69
77,Katsuura,JP,2022-04-29 01:26:38,35.1333,140.3,59.02,87,100,15.61
78,Winton,US,2022-04-29 01:26:38,37.3894,-120.6133,68.99,38,0,14.7
79,Sola,VU,2022-04-29 01:26:39,-13.8833,167.55,81.41,73,100,6.51
80,Longyearbyen,SJ,2022-04-29 01:26:39,78.2186,15.6401,6.64,61,20,17.27
81,Bredasdorp,ZA,2022-04-29 01:26:40,-34.5322,20.0403,56.41,95,100,5.79
82,Sabya,SA,2022-04-29 01:26:40,17.1495,42.6254,87.42,66,2,1.28
83,Vaini,TO,2022-04-29 01:26:41,-21.2,-175.2,82.56,61,75,12.66
84,Nouadhibou,MR,2022-04-29 01:23:58,20.931,-17.0347,64.38,82,60,17.27
85,Beloha,MG,2022-04-29 01:20:00,-25.1667,45.05,64.06,71,1,10.18
86,Kohima,IN,2022-04-29 01:26:41,25.6667,94.1167,73.0,45,0,1.5
87,Brainerd,US,2022-04-29 01:26:42,46.358,-94.2008,46.69,57,100,6.91
88,Castro,BR,2022-04-29 01:17:06,-24.7911,-50.0119,62.53,91,100,4.07
89,Otofuke,JP,2022-04-29 01:26:42,42.9917,143.2003,56.35,30,100,11.65
90,Cherskiy,RU,2022-04-29 01:26:43,68.75,161.3,20.68,90,99,10.96
91,Tazovskiy,RU,2022-04-29 01:27:43,67.4667,78.7,17.58,90,100,7.52
92,Aklavik,CA,2022-04-29 01:27:44,68.2191,-135.0107,24.31,81,100,11.03
93,Torbat-E Jam,IR,2022-04-29 01:27:44,35.244,60.6225,68.63,38,91,6.91
94,Raudeberg,NO,2022-04-29 01:27:45,61.9875,5.1352,41.67,85,100,3.74
95,Edgewater,US,2022-04-29 01:27:45,28.9889,-80.9023,73.49,56,75,14.97
96,Hilo,US,2022-04-29 01:15:27,19.7297,-155.09,81.28,73,0,12.66
97,Kruisfontein,ZA,2022-04-29 01:27:46,-34.0033,24.7314,60.98,47,7,8.39
98,Fare,PF,2022-04-29 01:23:14,-16.7,-151.0167,81.93,70,0,22.73
99,Libreville,GA,2022-04-29 01:27:47,0.3925,9.4537,78.91,82,100,3.47
100,Itarema,BR,2022-04-29 01:27:47,-2.9248,-39.9167,76.41,90,12,7.58
101,Mezen,RU,2022-04-29 01:27:48,65.8522,44.24,26.29,93,100,8.28
102,Tilichiki,RU,2022-04-29 01:27:48,60.4667,166.1,32.05,98,96,8.05
103,Narsaq,GL,2022-04-29 01:24:07,60.9167,-46.05,43.02,83,100,0.87
104,Pasaje,EC,2022-04-29 01:27:49,-3.3333,-79.8167,74.98,91,99,0.51
105,Gao,ML,2022-04-29 01:27:49,16.6362,1.637,82.6,7,98,9.31
106,Sri Aman,MY,2022-04-29 01:27:50,1.2376,111.4621,80.65,89,20,4.61
107,Avarua,CK,2022-04-29 01:27:12,-21.2078,-159.775,80.65,83,75,11.5
108,Bismarck,US,2022-04-29 01:25:05,46.8083,-100.7837,57.04,55,0,13.8
109,Nikolskoye,RU,2022-04-29 01:22:32,59.7035,30.7861,35.8,87,100,8.41
110,Vao,NC,2022-04-29 01:27:50,-22.6667,167.4833,74.86,71,100,21.18
111,Minab,IR,2022-04-29 01:27:51,27.1467,57.0801,71.92,60,45,0.0
112,Kortkeros,RU,2022-04-29 01:27:52,61.8106,51.5806,21.2,80,13,3.74
113,Faanui,PF,2022-04-29 01:27:52,-16.4833,-151.75,81.9,72,0,23.15
114,Middletown,US,2022-04-29 01:27:53,39.5151,-84.3983,57.97,50,100,8.05
115,Urengoy,RU,2022-04-29 01:27:53,65.9667,78.3667,21.78,87,100,11.25
116,Zlynka,RU,2022-04-29 01:27:54,52.4267,31.7378,37.62,81,13,3.22
117,Norman Wells,CA,2022-04-29 01:17:46,65.282,-126.8329,41.04,52,75,11.5
118,Lingig,PH,2022-04-29 01:27:54,8.0389,126.4125,77.67,88,100,2.84
119,Dudinka,RU,2022-04-29 01:27:55,69.4058,86.1778,15.62,93,100,6.6
120,Bereda,ES,2022-04-29 01:27:55,43.2686,-7.5406,46.58,100,42,1.45
121,Miraflores,MX,2022-04-29 01:27:56,19.2167,-98.8083,70.45,51,83,1.79
122,Port Blair,IN,2022-04-29 01:27:57,11.6667,92.75,82.44,89,75,0.0
123,Albany,US,2022-04-29 01:23:02,42.6001,-73.9662,45.34,31,0,5.01
124,Muros,ES,2022-04-29 01:27:57,42.7762,-9.0603,55.09,84,42,9.1
125,Yulara,AU,2022-04-29 01:27:58,-25.2406,130.9889,75.04,38,100,14.97
126,Bihoro,JP,2022-04-29 01:27:58,43.8228,144.1044,53.62,35,75,11.5
127,Carnarvon,AU,2022-04-29 01:24:23,-24.8667,113.6333,69.87,56,0,18.41
128,Bubaque,GW,2022-04-29 01:27:59,11.2833,-15.8333,77.14,74,97,16.62
129,Srednekolymsk,RU,2022-04-29 01:27:59,67.45,153.6833,21.83,83,98,7.23
130,Kirensk,RU,2022-04-29 01:28:00,57.7853,108.1119,39.31,72,63,6.46
131,Hervey Bay,AU,2022-04-29 01:28:00,-25.2986,152.8535,77.02,81,97,5.01
132,Chara,RU,2022-04-29 01:28:01,56.9064,118.2631,28.71,60,100,3.11
133,Yarada,IN,2022-04-29 01:28:01,17.65,83.2667,82.72,83,20,2.3
134,Najran,SA,2022-04-29 01:28:02,17.4924,44.1277,63.25,51,0,1.59
135,Jamestown,US,2022-04-29 01:27:04,42.097,-79.2353,38.84,52,0,5.75
136,Ribeira Grande,PT,2022-04-29 01:18:38,38.5167,-28.7,62.55,90,100,18.59
137,Guerrero Negro,MX,2022-04-29 01:21:18,27.9769,-114.0611,62.15,68,0,21.56
138,Bonavista,CA,2022-04-29 01:29:03,48.6499,-53.1147,36.41,96,100,10.13
139,Kaitangata,NZ,2022-04-29 01:29:03,-46.2817,169.8464,55.22,69,0,2.8
140,Namibe,AO,2022-04-29 01:29:04,-15.1961,12.1522,73.13,70,4,3.44
141,Sitka,US,2022-04-29 01:25:46,57.0531,-135.33,51.69,62,40,8.05
142,Ginda,IN,2022-04-29 01:29:04,30.6945,78.4932,63.5,30,5,8.14
143,Bambous Virieux,MU,2022-04-29 01:29:05,-20.3428,57.7575,74.21,94,20,4.61
144,Siavonga,ZM,2022-04-29 01:29:05,-16.5382,28.7088,67.89,71,84,4.29
145,Acapulco,MX,2022-04-29 01:22:43,16.8634,-99.8901,82.22,78,0,3.44
146,Torbay,CA,2022-04-29 01:24:25,47.6666,-52.7314,36.88,95,100,4.61
147,Olinda,BR,2022-04-29 01:29:06,-8.0089,-34.8553,82.13,69,75,12.66
148,San Vicente,AR,2022-04-29 01:21:22,-26.6167,-54.1333,65.25,99,90,3.31
149,Vardo,NO,2022-04-29 01:25:46,70.3705,31.1107,26.31,61,100,25.03
150,Beyneu,KZ,2022-04-29 01:29:07,45.3167,55.2,66.69,34,59,6.06
151,Cape Town,ZA,2022-04-29 01:24:43,-33.9258,18.4232,61.21,87,75,6.91
152,Laguna,US,2022-04-29 01:29:08,38.421,-121.4238,72.75,45,0,14.97
153,Ponta Do Sol,PT,2022-04-29 01:29:09,32.6667,-17.1,64.71,82,100,4.47
154,Boa Vista,BR,2022-04-29 01:29:10,2.8197,-60.6733,78.78,89,75,4.61
155,Mayo,US,2022-04-29 01:29:10,38.8876,-76.5119,54.48,48,0,6.91
156,Jinchang,CN,2022-04-29 01:29:11,38.4953,102.1739,48.04,32,100,23.06
157,Kushmurun,KZ,2022-04-29 01:29:11,52.4503,64.6311,55.29,54,99,8.81
158,Pisco,PE,2022-04-29 01:29:12,-13.7,-76.2167,65.01,88,0,5.75
159,Khatanga,RU,2022-04-29 01:27:10,71.9667,102.5,15.93,92,90,3.98
160,Varhaug,NO,2022-04-29 01:29:13,58.6147,5.6457,42.48,88,35,13.4
161,Byron Bay,AU,2022-04-29 01:29:13,-28.65,153.6167,74.95,83,54,4.41
162,Belaya Gora,RU,2022-04-29 01:29:14,68.5333,146.4167,16.83,81,99,3.78
163,Bahia Honda,CU,2022-04-29 01:29:14,22.9036,-83.1592,75.76,66,2,9.33
164,Poli,TZ,2022-04-29 01:29:15,-3.3333,36.8,59.76,97,100,3.98
165,Dabat,ET,2022-04-29 01:29:15,12.9842,37.765,58.71,14,0,3.78
166,Opuwo,NA,2022-04-29 01:29:16,-18.0607,13.84,72.99,38,93,2.1
167,Lorengau,PG,2022-04-29 01:27:09,-2.0226,147.2712,85.48,67,91,2.01
168,Imbituba,BR,2022-04-29 01:29:16,-28.24,-48.6703,72.86,94,100,10.49
169,Pijijiapan,MX,2022-04-29 01:29:17,15.7011,-93.23,79.68,82,2,0.94
170,Gogrial,SS,2022-04-29 01:29:17,8.5332,28.1004,81.18,60,100,5.84
171,Saint-Philippe,RE,2022-04-29 01:23:52,-21.3585,55.7679,74.21,81,41,12.48
172,Mecca,SA,2022-04-29 01:29:18,21.4267,39.8261,81.79,47,0,0.96
173,Taksimo,RU,2022-04-29 01:29:19,56.3444,114.8794,35.22,60,100,3.8
174,Homagama,LK,2022-04-29 01:29:19,6.844,80.0024,76.75,89,100,3.8
175,Talnakh,RU,2022-04-29 01:29:20,69.4865,88.3972,15.21,81,100,3.04
176,Flinders,AU,2022-04-29 01:29:20,-34.5833,150.8552,78.39,68,52,5.99
177,Grand Gaube,MU,2022-04-29 01:30:20,-20.0064,57.6608,74.37,79,10,1.99
